# Id	IsActive	CategoryId	SubCategoryId	Code	ShortDescription	LongDescription	MostPopular	NumberOfInstallationExamples	DrawingUrl	ImageFilename	DrawingFilename	CategoryCD
1e37e4a6-bf42-4daa-927c-f6cddb6260d9	1	893afc60-78b2-49c9-a57e-e5276ca21830	21f933c3-fde5-41df-b37f-7e5e35b0d77e	CB9085	Locking Threaded Bushing, Small Flange	Threaded bushing with locking thread enables localized reinforcement of and attachment to panel structure. 0.62" Flange Diameter. 	0	0		cb9085.jpg	CB9085.pdf	bushings
2cf0a169-e55b-4ff7-93a9-d36847124be4	1	893afc60-78b2-49c9-a57e-e5276ca21830	21f933c3-fde5-41df-b37f-7e5e35b0d77e	CB5005	Threaded Bushing, Small Flange	Threaded bushing enables localized reinforcement of and attachment to panel structure.	0	0		cb5005.jpg	cb5005.pdf	bushings
5596bab3-1b84-4290-ad65-0ffda0b8233c	1	893afc60-78b2-49c9-a57e-e5276ca21830	21f933c3-fde5-41df-b37f-7e5e35b0d77e	CB3005	Threaded Bushing, Large Flange	MATERIALS: Aluminum, 300 Series Stainless Steel, A-286 Stainless Steel, 316 Stainless Steel, and Titanium. Optional epoxy primer. FEATURES: Standard 1.25" diameter flange, 0.75" x 1.25" trimmed flange optional.	0	0		cb3005.jpg	CB3005.pdf	bushings
58b4e300-0948-4a04-b7a9-693006daeed7	1	893afc60-78b2-49c9-a57e-e5276ca21830	67ec4050-f249-40af-b885-abd34935e0d3	CB9077	Countersink Spacer Bushing, Through Hole	MATERIALS: Aluminum, Anodized Aluminum, 300 Series Stainless Steel.	0	0		cb9077.jpg	CB9077.pdf	bushings
77dd86b4-748c-445d-9b1b-0f85b1858650	1	893afc60-78b2-49c9-a57e-e5276ca21830	21f933c3-fde5-41df-b37f-7e5e35b0d77e	CB9060	Blind Threaded Bushing, Large Flange	MATERIALS: Aluminum, Anodized Aluminum, 300 Series Stainless Steel, A-286 Stainless Steel, and Titanium. Optional epoxy primer. FEATURES: Standard 1.25" diameter flange, 0.75" x 1.25" trimmed flange optional.	0	0		cb9060.jpg	cb9060.pdf	bushings
a90c6577-dc19-4954-b2e1-342ea3a116c2	1	893afc60-78b2-49c9-a57e-e5276ca21830	21f933c3-fde5-41df-b37f-7e5e35b0d77e	CB5006	Threaded Bushing, Small Flange	Threaded bushing enables localized reinforcement of and attachment to panel structure. Supplied with internal elastic fixture for reduced footprint applications. 1.00" Max Flange Diameter.	0	0		cb5006.jpg	cb5006.pdf	bushings
b304f83d-9926-4a23-bf3e-9067773a12e3	1	893afc60-78b2-49c9-a57e-e5276ca21830	706f8c92-4540-4065-9ba2-c9f707173b8b	CB9317	Washer, Insert		0	0		cb9317-2.png	cb9317.pdf	bushings
be45ddb7-dbc3-4df0-b4a4-e18274dbe599	1	893afc60-78b2-49c9-a57e-e5276ca21830	67ec4050-f249-40af-b885-abd34935e0d3	CB9029	Spacer Bushing, Through Hole	MATERIALS: Aluminum, Anodized Aluminum, Alodine Aluminum, 300 Series Stainless Steel, Invar 36, Glass-filled PEI Thermoplastic.	0	0		cb9029.jpg	cb9029.pdf	bushings
41ee21c6-fc85-445c-bce4-75924ffba71e	1	b3a436ea-1a8b-4aab-95d0-e44537bd73ee	fb35a197-54ab-4097-b508-100db2687a09	CP125-375	Medium (1 1/4” Dia.) Hat, Patch	Click patches are a simple, clean way to seal leaking flush or protruding fasteners or structures. Place patch over leak with holding fixture (included) until adhesive cures, then peel off holding fixture and discard. Any patch can be ordered in kit form for quick field repairs. Patch can be painted to match existing surface.	0	0		cp125-375.gif		clickpatch
8112a291-a4dd-4ca9-bf77-f57710912195	1	b3a436ea-1a8b-4aab-95d0-e44537bd73ee	fb35a197-54ab-4097-b508-100db2687a09	CP125	Standard Flat Click Patch  (1 1/4” Dia.)	Click patches are a simple, clean way to seal leaking flush or protruding fasteners or structures. Place patch over leak with holding fixture (included) until adhesive cures, then peel off holding fixture and discard. Flat patch's can be ordered in Fiberglass, Nylon reinforced rubber, Stainless steel, Titanium or Graphite/Epoxy. Any patch can be ordered in kit form for quick field repairs. Patch can be painted to match existing surface. Click Patch Kit includes CB200 adhesive.	1	0		cp125.jpg	cp125.pdf	clickpatch
d17c07de-b7f3-4053-9875-450b8543de85	1	b3a436ea-1a8b-4aab-95d0-e44537bd73ee	fb35a197-54ab-4097-b508-100db2687a09	CP200	Large Click Patch (2” Dia.)	Metallic or composite flat patch for repair of leaking flush fastener or other light non-structural damage.  Supplied with disposable fixture.  Fixture locates patch and applies continuous pressure during adhesive cure.	0	0		cp200.jpg	cp200.pdf	clickpatch
e8be1b0e-1d78-4572-a6b0-e70adb0ee43c	1	b3a436ea-1a8b-4aab-95d0-e44537bd73ee	fb35a197-54ab-4097-b508-100db2687a09	CP125-625	Standard, (1.25” Dia.) Hat, Patch	Click patches are a simple, clean way to seal leaking flush or protruding fasteners or structures. Place patch over leak with holding fixture (included) until adhesive cures, then peel off holding fixture and discard. Any patch can be ordered in kit form for quick field repairs. Patch can be painted to match existing surface.	0	0		cp125-625.gif		clickpatch
fe6327e5-b4b6-4871-a0da-e8d1ae2f6192	1	b3a436ea-1a8b-4aab-95d0-e44537bd73ee	fb35a197-54ab-4097-b508-100db2687a09	CP62	Small Click Patch (5/8” Dia.)	Small flat patch for repair of leaking flush fastener or other light non-structural damage.  Supplied with disposable fixture.  Fixture locates patch and applies continuous pressure during adhesive cure.	0	0		cp62.jpg	cp62.pdf	clickpatch
06c00249-eb1c-4052-93d6-74624b4bb17b	1	7645862c-ab12-4d14-9369-b385a10d1804	6409bfcb-79f7-446b-9f4c-ced58bb69769	CB4021	Standoff Swivel Cable-Tie Mount	This cable tie standoff uses standard tie wraps and is ideal when additional height is needed to secure wire bundles while clearing other structural components. Available in heights ranging from .50 to 2.00".	1	0		cb4021.jpg	cb4021.pdf	mounts
08d1eed6-1006-4718-99c8-a22f081bb1ac	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB4564	Internally-Fixtured Two-Way Standoff Cable-Tie Mount	Thermoplastic mount provides standoff of systems from underlying structure. Two-way strap slots provide flexibility in cable orientation. Incorporates new design with reduced footprint internal installation fixture.	0	0		cb4564.jpg	cb4564.pdf	mounts
0efa4bc0-d22e-413e-b79e-15a7b29393c8	1	7645862c-ab12-4d14-9369-b385a10d1804	7225d449-007c-4c48-bfba-a122f1d22cf9	CB9208	Insulation Blanket Retainer, Variable Length	null	0	0		cb9208.gif	cb9208.pdf	mounts
1446d5c9-cf7d-4e9a-b2b7-faf6a8e2b881	1	7645862c-ab12-4d14-9369-b385a10d1804	7e10d7ae-3dd3-479c-94da-54096b2149a9	CB4022	Right Angle Mount		This composite base, right angle nutplate can be ordered in lengths from .375 to 1.500" or in metric sizes 4M or 5M. The nut can be removed from retainer and replaced.	1	0		cb4022.gif	cb4022.pdf	mounts
1c02bf92-5651-4e6a-be04-c18db432307a	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB9787	Transverse Cable-Tie Mount	Miniature themoplastic cable-tie mount for applications with restricted footprints.	0	0		cb9787.jpg	cb9787.pdf	mounts
2e2b59d1-2ec7-41d3-bd6e-3910f81a0249	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB4062	Right Angle, Two Way	null	0	0		cb4062.gif	cb4062.pdf	mounts
2ea83a13-e5db-4c08-8b64-b33106c26c2a	1	7645862c-ab12-4d14-9369-b385a10d1804	e36cad03-cfce-4255-bd41-c58051bbd45b	CB9393	Quarter Turn Fastener Receptacle	This lightweight quarter turn receptacle being bonded on instead of riveted on as with standard receptacles will preserve the structural integrity of the material by reducing 2/3 of the holes required for installation.  Fits 2600/2700 series studs.	1	0		cb9393.gif	cb9393.pdf	mounts
3233747b-2b76-4893-837c-33403783af83	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB4561	Internally-Fixtured Transverse Cable-Tie Mount	Thermoplastic cable-tie mount with wire run oriented parallel to short axis of mount. Incorporates new design with reduced footprint internal installation fixture.	0	0		CB4561.jpg	CB4561.pdf	mounts
3f97ee27-66ad-42ab-922a-15bde4019cd5	1	7645862c-ab12-4d14-9369-b385a10d1804	e36cad03-cfce-4255-bd41-c58051bbd45b	CS120	Pin, Insulation Mount	CS120 pin comes in lengths from .50" to 3.50" with baseplate material in aluminum or stainless steel. This is a good alternative for use in the commercial industry for the installation of insulation. The pin can be bent over to better secure your product or the optional retainer can be used to hold insulation in place.	1	0		cs120.jpg	cs120.pdf	mounts
42b301ac-dd38-4d4a-afb5-992c481902c7	1	7645862c-ab12-4d14-9369-b385a10d1804	e36cad03-cfce-4255-bd41-c58051bbd45b	CB9205	Strap Loop Mount	Thermoplastic loop permits securing of loads using webbing strap.	0	0		cb9205.jpg	cb9205.pdf	mounts
47076a9c-3ca7-497e-b881-30b2bc3856a2	1	7645862c-ab12-4d14-9369-b385a10d1804	a3548288-7ef5-4d2c-bdc4-498ea25cb005	CB9459	NO LONGER AVAILABLE	NO LONGER AVAILABLE 	1	0		cb9459.jpg	cb9459.pdf	mounts
560c2eb8-83da-4b6a-8c36-7210708f7f85	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB4567	Mount, Cable Tie, Double Large	Thermoplastic cable-tie mount used for large bundles or large diameter wires and tubbing. Features an internal fixture for ease of installation. 	0	0		CB4567.png	cb4567.pdf	mounts
563cd9de-24f5-4869-aa8e-c3c3e8c393d8	1	7645862c-ab12-4d14-9369-b385a10d1804	7225d449-007c-4c48-bfba-a122f1d22cf9	CB9173	Medium Base (3/4” Dia.) Receptacle, Internal Fixture	A simple installation of the blanket mount to the bulkhead or skin allows insulation to be placed against the self-piercing receptacle which can help speed up your installation. By removing the spear and installing the removable retainer insulation can be removed and replaced for inspection without any damage.  Use with CB9174 Retainer.	1	0		cb9173.gif	cb9173.pdf	mounts
5ba82ea0-123e-4965-914b-fcc9c6d0ca1f	1	7645862c-ab12-4d14-9369-b385a10d1804	7225d449-007c-4c48-bfba-a122f1d22cf9	CB9174	Insulation Blanket Retainer	The threaded retainer is placed in the receptacle after the spear is removed.	1	0		cb9174.gif	cb9174.pdf	mounts
6bea3b97-0662-4a8f-ac84-1a41c44f67a9	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB4560	Internally-Fixtured Cable-Tie Mount	MATERIALS: Mount is Glass-filled PEI Thermoplastic.	0	0		cb4560.jpg	cb4560.pdf	mounts
724a31c6-d8e2-48f0-a752-1a11a11f32a4	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB4563	Mount, Cable Tie, 2-Way	This lightweight two-way, internally fixtured cable-tie mount is offered in various thermoplastic materials and uses a small footprint for installation while offering great flexibility in cable routing.	0	0		cb4563.jpg	cb4563.pdf	mounts
88cc1b9e-4909-4fc4-8e1d-4f945ddae934	1	7645862c-ab12-4d14-9369-b385a10d1804	a3548288-7ef5-4d2c-bdc4-498ea25cb005	CB9513	Lg. PEEK® Cable Tie (Size 5), variable length	Tie straps are also manufactured using PEEK® material and can be ordered in lengths ranging from a minimum of 8" to a maximum of 1500" with a minimum locking strength of 35 lbs. Ideal for industries such as Oil Drilling, Aerospace, Electronics, Automotive, Chemical Processing and Military and Defense because of it's outstanding mechanical properties and resistance to chemicals, abrasion and radiation.	1	0		cb9513.gif	cb9513.pdf	mounts
9f79ffbd-12f4-4d81-b696-abff729131e6	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB9120	Standard Cable-Tie Mount	MATERIALS: Mount is Glass-filled PEI Thermoplastic. 	1	0		cb9120.jpg	cb9120.pdf	mounts
a1f1778d-775f-445f-bd5b-dafa6ee078f4	1	7645862c-ab12-4d14-9369-b385a10d1804	7225d449-007c-4c48-bfba-a122f1d22cf9	CB9170	Insulation Blanket Mount Receptacle, Medium Base (3/4” Dia.)	MATERIALS: Retainer is offered in Polyetherimide thermoplastic. FEATURES: Optional insulation blanket piercing spear offered on receptacles with S suffix added to part number. Use with CB9174 Retainer.	0	0		cb9170.jpg	cb9170.pdf	mounts
a3306788-4ca2-45f0-9e7d-db75a911a01f	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB9151	Transverse Cable-Tie Mount	MATERIALS: Mount is Glass-filled PEI Thermoplastic.	1	0		cb9151.jpg	cb9151.pdf	mounts
addbe33d-5b3f-4cb2-9807-b2635709133d	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB9257	Cable-Tie Tree Mount	MATERIALS: Tree is Glass-filled or Carbon-filled PEI Thermoplastic.	0	0		cb9257.jpg	cb9257.pdf	mounts
b04d8595-67e2-4b86-8355-606e02c607af	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB9302	Standard Cable-Tie Mount	MATERIALS: Mount is Glass-filled or Carbon-filled PEI Thermoplastic.	0	0		cb9302.jpg	cb9302.pdf	mounts
c2570547-55b3-40e2-806e-1d1418a6bbcc	1	7645862c-ab12-4d14-9369-b385a10d1804	6409bfcb-79f7-446b-9f4c-ced58bb69769	CB3019	Swivel Cable-Tie Mount	MATERIALS: Baseplate is Aluminum, Anodized Aluminum, 300 Series Stainless Steel, 316 Stainless Steel, or Titanium. Saddle available in a variety of thermoplastic materials; review specification for more detail. Optional epoxy primer on baseplate bonding surface. FEATURES: ABS Type Approved Product 	0	0		cb3019.jpg	cb3019.pdf	mounts
c6a4630e-ca15-43ba-927d-494f9c42a4d7	1	7645862c-ab12-4d14-9369-b385a10d1804	6409bfcb-79f7-446b-9f4c-ced58bb69769	CB4020	Right-Angle Swivel Cable-Tie Mount	MATERIALS: Baseplate materials include Glass/Epoxy, Carbon/Epoxy, and Glass and Carbon filled PEI Thermoplastic. Saddle available in a variety of thermoplastic materials; review specification for more detail. Optional epoxy primer on baseplate bonding surface.	1	0		cb4020.jpg	cb4020.pdf	mounts
ee041579-78ac-4b1c-a697-39ef8b536c6f	1	7645862c-ab12-4d14-9369-b385a10d1804	6409bfcb-79f7-446b-9f4c-ced58bb69769	CB4019	Swivel Cable-Tie Mount	MATERIALS: Baseplate materials include Glass/Epoxy, Carbon/Epoxy, and Glass and Carbon filled PEI Thermoplastic. Saddle available in a variety of thermoplastic materials; review specification for more detail. Optional epoxy primer on baseplate bonding surface.	1	0		cb4019.jpg	cb4019.pdf	mounts
ff00dfb7-aa33-4000-ab12-d6c3e7bc3009	1	7645862c-ab12-4d14-9369-b385a10d1804	24fbe44d-f4e2-48a5-8997-802432eb2f7d	CB4064	Two-Way Standoff Cable-Tie Mount	MATERIALS: Mount is Glass-filled PEI Thermoplastic or Glass-filled PEEK Thermoplastic. Optional epoxy primer on bonding surface.	0	0		cb4064.jpg	cb4064.pdf	mounts
062753e8-280a-4b2e-b20b-5c24d020d844	1	b310069e-4533-4d66-b880-07fbc6e420fc	954edef4-3913-4a87-8c51-ad6896207ae2	CB3009	Two-Lug Bracket-Retained Nutplate	Two-lug nutplate with bracket-retained nut element for FOD-critical applications where nut replaceability is desired but nut element retainer clips are not permitted.	0	0		cb3009.jpg	cb3009.pdf	nutplates
177612db-8c78-492a-ba40-13e6e55d5b5e	1	b310069e-4533-4d66-b880-07fbc6e420fc	954edef4-3913-4a87-8c51-ad6896207ae2	CN614	Two Lug, Miniature	Bonded nutplates don't require any special tooling to install and eliminates two thirds of the holes in the structure by eliminating the attachment rivets normally required for nutplate installation. This nutplate can be ordered in metric sizes.	1	0		cn614.gif	cn614.pdf	nutplates
208e6c7c-fdcc-43b7-82a1-f89e1a32d27f	1	b310069e-4533-4d66-b880-07fbc6e420fc	954edef4-3913-4a87-8c51-ad6896207ae2	CB6007	Corner, Clip Retained		0	0		cb6007.gif	cb6007.pdf	nutplates
2e53a695-df31-41cd-8d42-aa942fb88fba	1	b310069e-4533-4d66-b880-07fbc6e420fc	954edef4-3913-4a87-8c51-ad6896207ae2	CB6011	One-Lug Clip-Retained Nutplate	One-lug nutplate with replaceable clip-retained nut element, for use in applications with restricted footprints.	0	0		cb6011.jpg	CB6011.pdf	nutplates
36bd524f-2023-4599-adf8-84874a8637cd	1	b310069e-4533-4d66-b880-07fbc6e420fc	954edef4-3913-4a87-8c51-ad6896207ae2	CN611	One Lug, Clip Retained	null	0	0		cn611.gif	cn611.pdf	nutplates
466773ec-12a3-4909-b4ed-1a6432a28f89	1	b310069e-4533-4d66-b880-07fbc6e420fc	7e1c77e9-07ac-4cb7-89e6-6b3e81a55a7f	CB6010	Two-Lug Sealed Nutplate	Sealed, two-lug nutplate for closeout of wet bays or pressure vessels. 	0	0		cb6010.jpg	CB6010.pdf	nutplates
47074ff6-d253-4a94-a714-fabfd3d4dcb8	1	b310069e-4533-4d66-b880-07fbc6e420fc	9d953b3c-1389-4ff2-bdd2-ffb35defa9c7	CB9566	Nutplate	Click Bond’s adhesive-bonded rivetless nutplates eliminate the drilling of attachment rivet holes traditionally associated with nutplate installation, preserving structural integrity and longevity, enabling weight savings, and reducing installation, rework, and repair time and cost.  Disposable installation fixtures are included with every nutplate. This proprietary technology centers the nutplate on the fastener hole, protects the nut threads from adhesive fouling, and clamps the nutplate under positive pressure while the adhesive cures, ensuring optimum bond strength and consistency. These anchor nuts also called nutplates or nut plates, incorporate a floating nut design for ease of alignment and replacement of the nut element without reworking the installation location. Commonly used in aerospace fastener applications for high cycle attachment points on aircraft. THIS ARE A NON-RETURNABLE PART.	0	0		cb6014.jpg	cb9566.pdf	nutplates
4709e2c0-fc6c-43b5-8916-dd37a6c0f93e	1	b310069e-4533-4d66-b880-07fbc6e420fc	9d953b3c-1389-4ff2-bdd2-ffb35defa9c7	CB7009	Two Lug Nutplate, Floating, High Reuse	null	0	0		cb6009.jpg	cb7009.pdf	nutplates
54a1af2c-6725-43c7-a006-d9dae3fb41ab	1	b310069e-4533-4d66-b880-07fbc6e420fc	954edef4-3913-4a87-8c51-ad6896207ae2	CB2009	Two-Lug Bracket-Retained Nutplate	Two-lug nutplate with bracket-retained nut element for FOD-critical applications where nut replaceability is desired but nut element retainer clips are not permitted.	0	0		cb2009.jpg	cb2009.pdf	nutplates
57a64ca5-11a9-4e2d-bc87-0156a8bded78	1	b310069e-4533-4d66-b880-07fbc6e420fc	3e2667ff-99af-4b59-8a55-5ce3330083e3	CB9121	Miniature, Sealed	null	0	0		cb9121.gif	cb9121.pdf	nutplates
6e774d8e-7481-44e1-a9d6-ba489b5d8586	1	b310069e-4533-4d66-b880-07fbc6e420fc	7e1c77e9-07ac-4cb7-89e6-6b3e81a55a7f	CB8010	Two-Lug Sealed Nutplate, 50 Cycle Reuse Option	Sealed, two-lug nutplate for closeout of wet bays or pressure vessels. Optional 50-cycle high-reuse nut element for applications requiring frequent access. Supplied with integral elastic installation fixture. Fixture simplifies nutplate installation by providing bondline clamp-up and maintenance of concentricity with the fastener hole, ensuring full availability of nut float and protection of threads from adhesive.	0	0		cb8010.jpg	cb8010.pdf	nutplates
819c2048-5a95-487f-b21d-b41ec4d4bd23	1	b310069e-4533-4d66-b880-07fbc6e420fc	7e1c77e9-07ac-4cb7-89e6-6b3e81a55a7f	CB2031	Low Profile, Sealed	Nutplates are designed for blind mounted applications where it is impractical to use hex nuts or where it is desirable to have an attached nut for ease of maintenance. Bonding nutplates eliminates two thirds of the holes in the structure by eliminating the attachment rivets normally required for nutplate installation.	1	0		cb2031.gif	cb2031.pdf	nutplates
96c68434-fb51-4b34-83f2-4647183b06de	1	b310069e-4533-4d66-b880-07fbc6e420fc	7e1c77e9-07ac-4cb7-89e6-6b3e81a55a7f	CB8008	One-Lug Sealed Nutplate	MATERIALS: Dome / baseplate are A-286 Stainless Steel. Thrust washer is A-286 Stainless Steel or Anodized Aluminum. Standard nut is A-286 Stainless Steel with copper plate and dry film lubrication. Alternatively, cadmium-plated nut available. Optional epoxy primer on bonding surface and dome. Optional MIL-C-27725 fuel-resistant topcoat on dome. FEATURES: Thread lock performance and nutplate strength per NASM25027 for steel and titanium bolts. Optional enhanced 50-cycle reuse with steel / stainless steel bolts (vs. 15-cycle standard per NASM25027). Nut and thread form compliant with AS8879. Non-locking nut element optionally available.	0	0		CB8008.jpg	cb8008.pdf	nutplates
